"source","description","date","curator","revision","Increased abundance in Group 1","NCBI","Experiment","Study","Page Name"
"Supplemental Figure E1","Differentially abundant taxa in children age 3 to 6 months with milk allergy persistence and milk allergy resolution at age 8","2020-02-20","Lucy Mellor","","increased","200643,976,171549","Experiment 1","Study 214","Signature 5"
"Supplemental Figure E1","Differentially abundant taxa in children age 3 to 6 months with milk allergy persistence and milk allergy resolution at age 8","2020-02-20","Lucy Mellor","","decreased","1730,186804,1239","Experiment 1","Study 214","Signature 6"
"Supplemental Figure E1","Differentially abundant taxa in children age 3 to 6 months with milk allergy persistence and milk allergy resolution at age 8","2020-02-20","Lucy Mellor","","increased","158851,547,590","Experiment 1","Study 214","Signature 7"
"Supplemental Figure E1","Differentially abundant taxa in children age 3 to 6 months with milk allergy persistence and milk allergy resolution at age 8","2020-02-20","Lucy Mellor","","decreased","186804,31979,572511,1239","Experiment 1","Study 214","Signature 8"
"Supplemental Figure E1","Differentially abundant taxa in children age 3 to 6 months with milk allergy persistence and milk allergy resolution at age 8","2020-02-20","Lucy Mellor","","increased","547,158851,200643,976,171549","Experiment 1","Study 214","Signature 9"
"Supplemental Figure E1","Differentially abundant taxa in children age 3 to 6 months with milk allergy persistence and milk allergy resolution at age 8","2020-02-20","Lucy Mellor","","decreased","1263,31979,186802,186801,1239","Experiment 1","Study 214","Signature 10"
"Supplemental Figure E1","Differentially abundant taxa in children age 3 to 6 months with milk allergy persistence and milk allergy resolution at age 8","2020-02-20","Lucy Mellor","","increased","590,547,158851,200643,976,171549","Experiment 1","Study 214","Signature 11"
"Supplemental Figure E1","Differentially abundant taxa in children age 3 to 6 months with milk allergy persistence and milk allergy resolution at age 8","2020-02-20","Lucy Mellor","","decreased","186804,31979,1730,572511,186802,186801,1239","Experiment 1","Study 214","Signature 12"
"Table 3","Differentially abdundant species in the gut of infants with and without eczema","2020-02-21","Lucy Mellor","","increased","626929,310297,46503,28126,33038,853,745368,239935","Experiment 1","Study 215","Signature 1"
"Table 3","Differentially abdundant species in the gut of infants with and without eczema","2020-02-21","Lucy Mellor","","decreased","1681,1679,817,1304,1735","Experiment 1","Study 215","Signature 2"
"Supplemental Table S2","Differentially abdundant families in the gut of infants with and without eczema","2020-02-21","Lucy Mellor","","increased","171551,186822,186803,541000,82115,194924,203557","Experiment 1","Study 215","Signature 3"
"Supplemental Table S2","Differentially abdundant families in the gut of infants with and without eczema","2020-02-21","Lucy Mellor","","decreased","85019,1653,85020,31953,84107,171552,90964,186828,33958,1300,31979,186804,128827,909930,31977,712","Experiment 1","Study 215","Signature 4"
"Supplemental Table S3","Differentially abdundant genera in the gut of infants with and without eczema","2020-02-21","Lucy Mellor","","increased","375288,577309,836,207244,2157,o__Clostridium_XIVb,33042,216851,946234,204475,186803,44249,33024,841,29465,35832,413496,872,547,379,239934","Experiment 1","Study 215","Signature 5"
"Supplemental Table S3","Differentially abdundant genera in the gut of infants with and without eczema","2020-02-21","Lucy Mellor","","decreased","1678,43668,1696,102106,1716,838,904,209879,156454,244127,580596,1485,o__Clostridium_XI,39948,189330,128827,117563,1578,906,1263,459786,1301,191303,538,724,570,40544","Experiment 1","Study 215","Signature 6"
"Figure 1","Prevalence of different bacterial groups in infants born by vaginal delivery or C-section.","2020-02-23","Shaimaa Elsafoury","","decreased","817,28116,821,47678,1679,1380,1686,1350,1502","Experiment 1","Study 216","Signature 1"
"Table 2","Differences in microbiota of healthy and eczematous children at 18 months of age","2020-02-26","Lucy Mellor","","increased","k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Ruminococcaceae;s__[Clostridium]_leptum,40518,k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Ruminococcaceae;s__[Clostridium]_cellulosi,46228,29361","Experiment 1","Study 217","Signature 1"
"Table 2","Differences in microbiota of healthy and eczematous children at 18 months of age","2020-02-26","Lucy Mellor","","decreased","817,28116,310297,46506,820,821,76122,976","Experiment 1","Study 217","Signature 2"
"Figure 1","Relative contribution of phylum-like bacterial groups to the total HITChip signals of infants at 6 and 18 months of age","2020-02-27","Lucy Mellor","","increased","o__Clostridium_XIVa","Experiment 2","Study 217","Signature 1"
"Figure 1","Relative contribution of phylum-like bacterial groups to the total HITChip signals of infants at 6 and 18 months of age","2020-02-27","Lucy Mellor","","decreased","201174,91061","Experiment 2","Study 217","Signature 2"
"Table 1","Genus-like phylogenetic groups changing statistically significantly from 6 to 18 months of age as assessed by
HITChip analysis","2020-02-27","Lucy Mellor","","increased","40518,33025,45851,1512,140626,100884,848,583,40545,31969","Experiment 3","Study 217","Signature 1"
"Table 1","Genus-like phylogenetic groups changing statistically significantly from 6 to 18 months of age as assessed by
HITChip analysis","2020-02-27","Lucy Mellor","","decreased","1678,1590","Experiment 3","Study 217","Signature 2"
"Figure 3","Genera strikingly different in gut microbiota associated with hepatits B and non-hepatitis virus related hepatocellular carcinoma","2020-02-26","Fatima Zohra","","increased","244127","Experiment 1","Study 218","Signature 1"
"Figure 3","Genera strikingly different in gut microbiota associated with hepatits B and non-hepatitis virus related hepatocellular carcinoma","2020-02-26","Fatima Zohra","","decreased","158846,28050,39496,186803","Experiment 1","Study 218","Signature 2"
"Figure 3","Genera strikingly different in gut microbiota associated with hepatits B and non-hepatitis virus related hepatocellular carcinoma","2020-02-26","Fatima Zohra","","increased","838,541000,33024,244127","Experiment 2","Study 218","Signature 1"
"Figure 3","Genera strikingly different in gut microbiota associated with hepatits B and non-hepatitis virus related hepatocellular carcinoma","2020-02-26","Fatima Zohra","","increased","32199,28050,33024,39496,1283313","Experiment 3","Study 218","Signature 1"
"Table 1","ANCOM results of selected taxa prevalent in at least 25% of the samples obtained from college freshmen in the almond and cracker groups at baseline and 8 wk after the intervention","2020-02-28","Lora Kasselman","","increased","817","Experiment 1","Study 219","Signature 1"
"Table 1","ANCOM results of selected taxa prevalent in at least 25% of the samples obtained from college freshmen in the almond and cracker groups at baseline and 8 wk after the intervention","2020-02-28","Lora Kasselman","","increased","k__Bacteria;p__Tenericutes;c__Mollicutes;o__RF39
,28050","Experiment 2","Study 219","Signature 1"
"Table 1","ANCOM results of selected taxa prevalent in at least 25% of the samples obtained from college freshmen in the almond and cracker groups at baseline and 8 wk after the intervention","2020-02-28","Lora Kasselman","","decreased","239759,k__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;f__S24.7,574697,283168","Experiment 2","Study 219","Signature 2"
"Table 1","ANCOM results of selected taxa prevalent in at least 25% of the samples obtained from college freshmen in the almond and cracker groups at baseline and 8 wk after the intervention","2020-02-28","Lora Kasselman","","decreased","40544","Experiment 3","Study 219","Signature 1"
"Figure 4, Figure S1, Figure s2","Taxonomic analysis of forehead microbiota using LEfSe between older and younger european women","2020-03-01","Rimsha Azhar","","increased","1663,168808,468,72274,1716,28256,2745,135619,481,206351,28216,1224","Experiment 1","Study 220","Signature 1"
"Figure 4, Figure S1, Figure s2","Taxonomic analysis of forehead microbiota using  LEfSe between older and younger european women","2020-03-01","Rimsha Azhar","","decreased","31957,1743,85009","Experiment 1","Study 220","Signature 2"
"Figure 2","Comaprison between UTI patients and Health controls using linear discriminant analysis","2020-03-02","Rimsha Azhar","","increased","547,1468449,86664,333367,44009,536633","Experiment 1","Study 221","Signature 1"
"Figure 2","Comaprison between UTI patients and Health controls using linear discriminant analysis","2020-03-02","Rimsha Azhar","","decreased","1260,150022,386414,724,729,135625,712,g___massilia_aurea,75682,149698,1559,g__clostridium_lituseburense,39948,186804","Experiment 1","Study 221","Signature 2"
"Table 3","OTUs with significantly different occurrence among towns","2020-03-02","Valentina Pineda","","increased","157687,1926307","Experiment 1","Study 222","Signature 1"
"Table 3","OTUs with significantly different occurrence among towns","2020-03-02","Valentina Pineda","","decreased","29387,484,171551,239,TM7-genera incertae sedis,1885016,28135,1017,29317,k__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rhodobacterales;f__Rhodobacteraceae;g__Haematobacter;s__Haematobacter_sp,49546,84566,1303,1924944,192066","Experiment 1","Study 222","Signature 2"
"Figure 5b","Alterations of gut microbiota of patients with acquired immune deficiency syndrome","2020-03-04","Fatima Zohra","","increased","1343,1578,33958,33038,1506553,1301,1300,1350,81852,186826,91061,1224,1236,543,91347","Experiment 1","Study 223","Signature 1"
"Figure 5b","Alterations of gut microbiota of patients with acquired immune deficiency syndrome","2020-03-04","Fatima Zohra","","decreased","976,200643,171549,186801,186802,541000,815,816,909932,909929,171552,838,31977,165179,186803,158846,821,292632,216851,39948,909930,33024","Experiment 1","Study 223","Signature 2"
"Figure 6b","Effects of HIV transmission route of fecal microbiota in patients with HIV","2020-03-04","Fatima Zohra","","increased","91061,186826,1350,81852,1505663,1547","Experiment 2","Study 223","Signature 1"
"Figure 6b","Effects of HIV transmission route of fecal microbiota in patients with HIV","2020-03-04","Fatima Zohra","","decreased","186802,186801,976,171549,200643,541000,909929,909932,171552,838,165179,39948,216851,909930,33024","Experiment 2","Study 223","Signature 2"
"Figure 6b","Effects of HIV transmission route of fecal microbiota in patients with HIV","2020-03-04","Fatima Zohra","","increased","543,91347,186803,1301,1300,33958,1578,33038","Experiment 3","Study 223","Signature 1"
"Figure 6d","relative abundance bacteria with significance between heterosexual and homosexual subjects","2020-03-04","Fatima Zohra","","decreased","838,1506553,33024,375288","Experiment 4","Study 223","Signature 1"
"Figure 7c","Effects of HAART on gut microbiota in patients with HIV","2020-03-04","Fatima Zohra","","increased","562,561,620,1300,1301,1506553,33038,817","Experiment 5","Study 223","Signature 1"
"Figure 7c","Effects of HAART on gut microbiota in patients with HIV","2020-03-04","Fatima Zohra","","decreased","186801,186802,976,200643,171549,541000,815,816,909932,909929,171552,31977,838,158846,292632,216851,39948,909930,33024","Experiment 5","Study 223","Signature 2"
"Figure 7c","Effects of HAART on gut microbiota in patients with HIV","2020-03-04","Fatima Zohra","","increased","91061,543,91347,186826,1236,1224,81852,1350,33958,1578","Experiment 6","Study 223","Signature 1"
"Table 2, text","Table 2 Abundance of dominant bacterial taxa (% of total microbiota) in fecal samples as determined by 454 pyrosequencing (values are presented as mean±s.d.)","2020-03-04","Lora Kasselman","","increased","k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Lachnospiraceae;s__[Eubacterium]_rectale,301302,572511,166486,418240,1239","Experiment 1","Study 224","Signature 1"
"Table 2, text","Table 2 Abundance of dominant bacterial taxa (% of total microbiota) in fecal samples as determined by 454 pyrosequencing (values are presented as mean±s.d.)","2020-03-04","Lora Kasselman","","decreased","28118,976,171551,283168","Experiment 1","Study 224","Signature 2"
"Table 2, text","Table 2 Abundance of dominant bacterial taxa (% of total microbiota) in fecal samples as determined by 454 pyrosequencing (values are presented as mean±s.d.)","2020-03-04","Lora Kasselman","","increased","1239","Experiment 2","Study 224","Signature 1"
"Table 2, text","Table 2 Abundance of dominant bacterial taxa (% of total microbiota) in fecal samples as determined by 454 pyrosequencing (values are presented as mean±s.d.)","2020-03-04","Lora Kasselman","","decreased","976","Experiment 2","Study 224","Signature 2"
"Table 2, text","Table 2 Abundance of dominant bacterial taxa (% of total microbiota) in fecal samples as determined by 454 pyrosequencing (values are presented as mean±s.d.)","2020-03-04","Lora Kasselman","","increased","572511,1239","Experiment 3","Study 224","Signature 1"
"Table 2, text","Table 2 Abundance of dominant bacterial taxa (% of total microbiota) in fecal samples as determined by 454 pyrosequencing (values are presented as mean±s.d.)","2020-03-04","Lora Kasselman","","decreased","976,815,816","Experiment 3","Study 224","Signature 2"
"Table 3, text","Relative abundance of dominant taxa in stool samples obtained at 12 months from infants with and without atopic eczema during the first 2 years of life","2020-03-04","Lucy Mellor","","increased","1350,186804","Experiment 1","Study 225","Signature 1"
"Table 3, text","Relative abundance of dominant taxa in stool samples obtained at 12 months from infants with and without atopic eczema during the first 2 years of life","2020-03-04","Lucy Mellor","","decreased","1224","Experiment 1","Study 225","Signature 2"
"Figure 2B,2C, 2D, 2E","Comparison of the relative abundance in healthy controls and HIV-1 positive individuals","2020-03-04","Fatima Zohra","","increased","838,171552,158846,1224,216851,80840,28216,995019,577310,526525,128827,526524,81852,1350,547,135858,580596,189330,1239","Experiment 1","Study 226","Signature 1"
"Figure 2B,2C, 2D, 2E","Comparison of the relative abundance in healthy controls and HIV-1 positive individuals","2020-03-04","Fatima Zohra","","decreased","33042,397864,39948,815,816","Experiment 1","Study 226","Signature 2"
"Figure 3B","Comparison of the relative abundance in healthy controls and HIV-1 positive individuals","2020-03-04","Fatima Zohra","","increased","1350,81852,572511,2037,1654,29465,2049,1224,158846,31977,909929,909932,1239","Experiment 2","Study 226","Signature 1"
"Figure 3B","Comparison of the relative abundance in healthy controls and HIV-1 positive individuals","2020-03-04","Fatima Zohra","","decreased","171552,838,171549,200643,976,216851,39948,171550,239759,638847,649775,649776,649777,2753,397864,459786,283168","Experiment 2","Study 226","Signature 2"
"Figure 2a, Text","Phylum level relative abundance of gut microbiota in infants with transient atopic dermatitis (AD) and healthy controls","2020-03-05","Lucy Mellor","","increased","201174","Experiment 1","Study 227","Signature 1"
"Figure 2b, Text","Genus level relative abundance of gut microbiota in infants with transient atopic dermatitis (AD) and healthy controls","2020-03-05","Lucy Mellor","","increased","1678,239934","Experiment 1","Study 227","Signature 2"
"Figure 2b, Text","Genus level relative abundance of gut microbiota in infants with persistent atopic dermatitis (AD) and healthy controls","2020-03-05","Lucy Mellor","","increased","1301","Experiment 2","Study 227","Signature 1"
"Figure 2b, Text","Genus level relative abundance of gut microbiota in infants with persistent atopic dermatitis (AD) and healthy controls","2020-03-05","Lucy Mellor","","decreased","1485","Experiment 2","Study 227","Signature 2"
"Figure 2b, Text","Genus level relative abundance of gut microbiota in infants with persistent atopic dermatitis (AD) and transient atopic dermatitis","2020-03-05","Lucy Mellor","","increased","1301","Experiment 3","Study 227","Signature 1"
"Figure 2b, Text","Genus level relative abundance of gut microbiota in infants with persistent atopic dermatitis (AD) and transient atopic dermatitis","2020-03-05","Lucy Mellor","","decreased","239934","Experiment 3","Study 227","Signature 2"
"Supplemental Figure S1a","LEfSe analysis of the infant gut microbiota in healthy controls and persistent AD subjects","2020-03-05","Lucy Mellor","","increased","91061,1301,1300,186826,1505657,216851,171551,375288,1505652,1501226,117563,186827,100883","Experiment 4","Study 227","Signature 1"
"Supplemental Figure S1a","LEfSe analysis of the infant gut microbiota in healthy controls and persistent AD subjects","2020-03-05","Lucy Mellor","","decreased","1504576,84111,g__Ruminococcus_g4,160674,1330547,g__Ruminococcus_g2,544,2037,547,1654,2049,g__Clostridium_g4,g__Clostridium_g6,100883","Experiment 4","Study 227","Signature 2"
"Supplemental Figure S1b","LEfSe analysis of the infant gut microbiota in transient AD and persistent AD subjects","2020-03-05","Lucy Mellor","","increased","g__Ruminococcus_g4,100883,189330,469,468,72274,g__Ruminococcus_g2,1501226,375288,171551,541000,216851,1301,1300,1239","Experiment 5","Study 227","Signature 1"
"Supplemental Figure S1b","LEfSe analysis of the infant gut microbiota in transient AD and persistent AD subjects","2020-03-05","Lucy Mellor","","decreased","g__Akkermansia_f,74201,48461,203494,239934,547,1330547,160674","Experiment 5","Study 227","Signature 2"
"Supplemental Figure S1c","LEfSe analysis of the infant gut microbiota in healthy controls and transient AD subjects","2020-03-05","Lucy Mellor","","increased","31953,85004,1678,c__Actinobacteria_c,1760","Experiment 6","Study 227","Signature 1"
"Supplemental Figure S1c","LEfSe analysis of the infant gut microbiota in healthy controls and transient AD subjects","2020-03-05","Lucy Mellor","","decreased","1268,32207,85006","Experiment 6","Study 227","Signature 2"
"Figure 1b and text","OTUs that showed statistically significant (DESeq. 2, FDR < 0.1) differential abundance on day 6 compared to day 3 in response to particular spike-ins. Mean relative abundances are computed across all participants and then converted to Z-scores across timepoints, to illustrate relative changes through time. - PECTIN","2020-03-11","Lora Kasselman","","decreased","186803,841,816,44748,541000,853","Experiment 1","Study 228","Signature 1"
"Figure 1b and text","OTUs that showed statistically significant (DESeq. 2, FDR < 0.1) differential abundance on day 6 compared to day 3 in response to particular spike-ins. Mean relative abundances are computed across all participants and then converted to Z-scores across timepoints, to illustrate relative changes through time. - INULIN","2020-03-11","Lora Kasselman","","decreased","186803,820,853","Experiment 2","Study 228","Signature 1"
"Figure 4 and text","Significantly changed taxa according to pectin incubation time (q value < 0.1)","2020-03-12","Lora Kasselman","","increased","1678,84107,100883,186804,846,990719,31979,283168,33042,574697,1263,207244,572511,375288,33024,841,171550,816","Experiment 1","Study 229","Signature 1"
"Figure 4 and text","Significantly changed taxa according to pectin incubation time (q value < 0.1)","2020-03-12","Lora Kasselman","","decreased","28050,40544,189330,1485,80840,171549","Experiment 1","Study 229","Signature 2"
"Figure 2, text","Relative abundance of gut microbiota of infants at 2 months of age in food allergy (FA) and non-allergy (NA) groups","2020-03-12","Lucy Mellor","","decreased","1243,46255,29465","Experiment 1","Study 230","Signature 1"
"Figure 4c, text","Relative abundances of genera in infants at 1 year of age which were statistically signficant differences between the food allergy (FA) and non-allergy (NA) groups","2020-03-12","Lucy Mellor","","increased","543,1485","Experiment 1","Study 230","Signature 2"
"Figure 1, Table 2, and text","Changes in bacterial taxa relative abundance (%) at 10 h and 24 h of in vitro batch culture fermentations inoculated with human feces (n = 3 healthy donors) and administrated with inulin, cellulose, Renetta Canada, Golden Delicious and Pink Lady as the substrates (treatments).","2020-03-18","Lora Kasselman","","increased","186802","Experiment 1","Study 231","Signature 1"
"Figure 1, Table 2, and text","Changes in bacterial taxa relative abundance (%) at 10 h and 24 h of in vitro batch culture fermentations inoculated with human feces (n = 3 healthy donors) and administrated with inulin, cellulose, Renetta Canada, Golden Delicious and Pink Lady as the substrates (treatments).","2020-03-18","Lora Kasselman","","increased","186802","Experiment 2","Study 231","Signature 1"
"Figure 1, Table 2, and text","Changes in bacterial taxa relative abundance (%) at 10 h and 24 h of in vitro batch culture fermentations inoculated with human feces (n = 3 healthy donors) and administrated with inulin, cellulose, Renetta Canada, Golden Delicious and Pink Lady as the substrates (treatments).","2020-03-18","Lora Kasselman","","increased","186802","Experiment 3","Study 231","Signature 1"
"Figure 3","Phylogenetic differences in HIV subjects not on combination anti-retroviral therpay","2020-03-18","Fatima Zohra","","increased","32066,203490,186804,203492,165779,1257,836,848","Experiment 1","Study 232","Signature 1"
"Figure 3","Phylogenetic differences in HIV subjects not on combination anti-retroviral therpay","2020-03-18","Fatima Zohra","","decreased","1239,186801,186802,186803,541000,171550,28050,33042,841,1730,1263,239759","Experiment 1","Study 232","Signature 2"
"Figure 1, Supplemental table S1","Colonic muscosal dysbiosis in chronic, untreated HIV-1 infections","2020-03-18","Fatima Zohra","","increased","1224,838,469,171552,118882,32033,468","Experiment 1","Study 233","Signature 1"
"Figure 1, Supplemental table S1","Colonic muscosal dysbiosis in chronic, untreated HIV-1 infections","2020-03-18","Fatima Zohra","","decreased","1239,816,572511,33042,171551,171550","Experiment 1","Study 233","Signature 2"
"Figure 1c, Supplemental Figure 3b","Differentially abundant OTUs among adults with atopic dermatitis (AD) and healthy controls","2020-03-19","Lucy Mellor","","increased","1280","Experiment 1","Study 234","Signature 1"
"Figure 1c, Supplemental Figure 3b","Differentially abundant OTUs among adults with atopic dermatitis (AD) and healthy controls","2020-03-19","Lucy Mellor","","decreased","36773,1981334,29387,1591,1909303,1747","Experiment 1","Study 234","Signature 2"
"Figure 1c, Supplemental Figure 3b","Differentially abundant OTUs among adults with psoriasis (PSO) and healthy controls","2020-03-19","Lucy Mellor","","increased","146827,1981334,481,161879,1872515","Experiment 2","Study 234","Signature 1"
"Figure 1c, Supplemental Figure 3b","Differentially abundant OTUs among adults with psoriasis (PSO) and healthy controls","2020-03-19","Lucy Mellor","","decreased","36773,1591,1909303","Experiment 2","Study 234","Signature 2"
"Figure 3, Figure 4, Figure 5","Differentially abundant operational taxonomic units (OTUs) obsereved between food-allergic children and healthy controls","2020-03-20","Lucy Mellor","","increased","351091,1971605,s__Lachnoclostridium_bolteae","Experiment 1","Study 235","Signature 1"
"Figure 3, Figure 4, Figure 5","Differentially abundant operational taxonomic units (OTUs) obsereved between food-allergic children and healthy controls","2020-03-20","Lucy Mellor","","decreased","1955243","Experiment 1","Study 235","Signature 2"
"Figure 3, Figure 5","Differentially abundant operational taxonomic units (OTUs) obsereved between food-allergic children and their siblings","2020-03-20","Lucy Mellor","","increased","s__Lachnoclostridium_bolteae","Experiment 2","Study 235","Signature 1"
"Figure 3, Figure 5","Differentially abundant operational taxonomic units (OTUs) obsereved between food-allergic children and their siblings","2020-03-20","Lucy Mellor","","decreased","28117,1872444","Experiment 2","Study 235","Signature 2"
"Figure 3, Figure 4, Figure 5","Differentially abundant operational taxonomic units (OTUs) obsereved between non-food-allergic siblings and healthy controls","2020-03-20","Lucy Mellor","","increased","351091,1971605,28117,1872444","Experiment 3","Study 235","Signature 1"
"Figure 3, Figure 4, Figure 5","Differentially abundant operational taxonomic units (OTUs) obsereved between non-food-allergic siblings and healthy controls","2020-03-20","Lucy Mellor","","decreased","1955243","Experiment 3","Study 235","Signature 2"
"Text","Differentially abundant taxons in children <7 years compared to children 7-18 years","2020-03-20","Lucy Mellor","","increased","976","Experiment 4","Study 235","Signature 1"
"Text","Differentially abundant taxons in children <7 years compared to children 7-18 years","2020-03-20","Lucy Mellor","","decreased","1239,1224,128827,186803,186804","Experiment 4","Study 235","Signature 2"
"Figure 4b, 5a, and text","Most abundant Operational Taxonomic Units for both walnut and control phase at genus level. Significant different OTUs are marked with by using * and p-values. pvalues were calculated using a pairwise Fisher test.","2020-03-25","Lora Kasselman","","increased","207244,572511","Experiment 1","Study 236","Signature 1"
"Figure 4b, 5a, and text","Most abundant Operational Taxonomic Units for both walnut and control phase at genus level. Significant different OTUs are marked with by using * and p-values. pvalues were calculated using a pairwise Fisher test.","2020-03-25","Lora Kasselman","","decreased","541000,1678","Experiment 1","Study 236","Signature 2"
"Figure 4b, 5a, and text","Most abundant Operational Taxonomic Units for both walnut and control phase at genus level. Significant different OTUs are marked with by using * and p-values. pvalues were calculated using a pairwise Fisher test.","2020-03-25","Lora Kasselman","","decreased","204475,1407607,816","Experiment 2","Study 236","Signature 1"
"Figure 4b, 5a, and text","Most abundant Operational Taxonomic Units for both walnut and control phase at genus level. Significant different OTUs are marked with by using * and p-values. pvalues were calculated using a pairwise Fisher test.","2020-03-25","Lora Kasselman","","increased","204475,1407607,816","Experiment 3","Study 236","Signature 1"
"Table 3","Genera with distinct patterns and their mean abundance in predefinded groups","2020-03-25","Fatima Zohra","","increased","1283313,1578,1301,29465,239934,561,620,724,1269,46255","Experiment 1","Study 237","Signature 1"
"Table 3","Genera with distinct patterns and their mean abundance in predefinded groups","2020-03-25","Fatima Zohra","","decreased","574697,172900,35832,k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Clostridiaceae;g__Clostridium IV,k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Clostridiaceae;g__Clostridium XIVb,52225,213484","Experiment 1","Study 237","Signature 2"
"Table 3","Genera with distinct patterns and their mean abundance in predefinded groups","2020-03-25","Fatima Zohra","","increased","544,1485,1253","Experiment 2","Study 237","Signature 1"
"Table 3","Genera with distinct patterns and their mean abundance in predefinded groups","2020-03-25","Fatima Zohra","","decreased","946234,906,1017280,35829","Experiment 3","Study 237","Signature 1"
"Figure 4A","The fecal microbiota of individuals with cervical cancer statistically significantly different from that of healthy individuals","2020-03-26","Cynthia Anderson","Fatima Zohra","increased","838,836,39948,1506553,40544,1505663,437755,946234,459786,1301","Experiment 1","Study 238","Signature 1"
"Figure 4A","The fecal microbiota of individuals with cervical cancer statistically significantly different from that of healthy individuals","2020-03-26","Cynthia Anderson","Fatima Zohra","decreased","k__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Marinilabiliales;f__Marinifilaceae_Butyricimonas,1505657,990719,1501226,207244,1407607,375288,572511,547,239759,561,816,620","Experiment 1","Study 238","Signature 2"
"Figure 4B","The fecal microbiota of individuals with cervical cancer statistically significantly different from that of healthy individuals after adjusting for age","2020-03-26","Cynthia Anderson","Fatima Zohra","increased","838,836,39948,1506553,1505663,946234,437755","Experiment 2","Study 238","Signature 1"
"Figure 4B","The fecal microbiota of individuals with cervical cancer statistically significantly different from that of healthy individuals after adjusting for age","2020-03-26","Cynthia Anderson","Fatima Zohra","decreased","1501226,207244,572511,239759","Experiment 2","Study 238","Signature 2"
"Figure 4C","The fecal microbiota of individuals with cervical cancer statistically significantly different from that of healthy individuals after adjusting for race","2020-03-26","Cynthia Anderson","Fatima Zohra","increased","838,836,39948,1506553,1301,1505663,437755","Experiment 3","Study 238","Signature 1"
"Figure 4C","The fecal microbiota of individuals with cervical cancer statistically significantly different from that of healthy individuals after adjusting for race","2020-03-26","Cynthia Anderson","Fatima Zohra","decreased","1505657,1501226,1407607,207244,547,239759","Experiment 3","Study 238","Signature 2"
"Figure 2b, text","Bacterial genera significantly associated with egg allergy","2020-03-26","Lucy Mellor","","increased","1263,1357","Experiment 1","Study 239","Signature 1"
"Figure 2b, text","Bacterial genera significantly associated with egg allergy","2020-03-26","Lucy Mellor","","decreased","1243","Experiment 1","Study 239","Signature 2"
"Figure 5b, text","Bacterial genera significantly associated with egg sensitization","2020-03-27","Lucy Mellor","","increased","216851,841","Experiment 2","Study 239","Signature 1"
"Table 3, text","Relative abundance of dominant phyla and families in fecal microbiota of infants at 3 months according to food sensitization at 1 year","2020-03-27","Lucy Mellor","","increased","1224,543","Experiment 1","Study 240","Signature 1"
"Table 3, text","Relative abundance of dominant phyla and families in fecal microbiota of infants at 1 year according to food sensitization at 1 year","2020-03-27","Lucy Mellor","","increased","543","Experiment 2","Study 240","Signature 1"
"Table 3, text","Relative abundance of dominant phyla and families in fecal microbiota of infants at 1 year according to food sensitization at 1 year","2020-03-27","Lucy Mellor","","decreased","976,815","Experiment 2","Study 240","Signature 2"
"Figure 3","Discriminant species-level taxa between iron deficiency anemia (IDA) infants and healthy controls","2020-03-29","Rimsha Azhar","","increased","29466,39778,137838","Experiment 1","Study 241","Signature 1"
"Figure 3","Discriminant species-level taxa between iron deficiency anemia (IDA) infants and healthy controls","2020-03-29","Rimsha Azhar","","decreased","74426,39486,1681,39948","Experiment 1","Study 241","Signature 2"
"Figure 3b, 4b, Table S2","Comparison of bacterial taxonomy (>1% relative abundance) of samples between healthy controls and iron deficiency anemia (IDA) patients","2020-03-29","Rimsha Azhar","","increased","1239,475,1357,286,1350,57493,1578","Experiment 1","Study 242","Signature 1"
"Figure 3b, 4b, Table S2","Comparison of bacterial taxonomy (>1% relative abundance) of samples between healthy controls and iron deficiency anemia (IDA) patients","2020-03-29","Rimsha Azhar","","decreased","201174,1716,482,416916,2717","Experiment 1","Study 242","Signature 2"
"Figure 5b","LEfSe analysis of samples between healthy controls and iron deficiency anemia (IDA) patients","2020-03-29","Rimsha Azhar","","increased","91061,186826,1239,1357,1300,72274,2070,286,1350,81852,468,475,186804,57493","Experiment 2","Study 242","Signature 1"
"Figure 5b","LEfSe analysis of samples between healthy controls and iron deficiency anemia (IDA) patients","2020-03-29","Rimsha Azhar","","decreased","29547,213849,72294,194,868,135615,2717,32207,416916,215579,80840,1016,117743,49546,200644,712,135625,482,481,206351,28216,85007,1653,1716,201174,1760","Experiment 2","Study 242","Signature 2"
"Figure 5d","LEfSe analysis of samples between iron deficiency anemia moderate (IDA_m) and iron deficiency anemia severe (IDA_s) patients","2020-03-29","Rimsha Azhar","","increased","57493,1111,31953,1279,90964,475,468,1350,81852,286,351,1239,1236,1357,72274","Experiment 3","Study 242","Signature 1"
"Figure 5d","LEfSe analysis of samples between iron deficiency anemia moderate (IDA_m) and iron deficiency anemia severe (IDA_s) patients","2020-03-29","Rimsha Azhar","","decreased","135625,712,206351,481","Experiment 3","Study 242","Signature 2"
