"antibiotics exclusion","location","condition","Group 0 sample size","Group 1 sample size","Group 0 name","Group 1 name","Group 1 definition","host species","body_site","sequencing type","16S variable region (lower bound)","16S variable region (upper bound)","sequencing platform","statistical test","LDA Score >","significance threshold","MHT correction","matched on","confounders controlled for","Pielou","Shannon","Chao1","Simpson","Inverse Simpson","Richness","Study","Page Name"
"1 week (oral antibiotics)","United States of America","age","59","69","2-12 years","18-62 years","teenager/adult age 13-62","Homo sapiens","skin of body","16S","1","3","Illumina","t-test","","0.05","Yes","","","","decreased","","","","","Study 244","Experiment 7"
"3 months","China","kidney stone","13","13","healthy control","kidney stone group","kidney stones","Homo sapiens","feces","16S","4","","Illumina","LEfSe","3","0.05","No","age, race","","","unchanged","unchanged","unchanged","","","Study 245","Experiment 1"
"3 months","China","kidney stone","13","13","healthy control","kidney stone group","kidney stones","Homo sapiens","feces","16S","4","","Illumina","Mann-Whitney (Wilcoxon)","","0.05","No","age, race","","","unchanged","unchanged","unchanged","","","Study 245","Experiment 2"
"","Canada","asthma","392","36","no asthma","maternal asthma","maternal prenatal asthma/male caucasian infant","Homo sapiens","feces","16S","","","Illumina","LEfSe","2","0.05","Yes","","","","","","","","","Study 246","Experiment 1"
"","Canada","asthma","329","38","no asthma","maternal asthma","maternal prenatal asthma/female caucasian infant","Homo sapiens","feces","16S","","","Illumina","LEfSe","2","0.05","Yes","","","","","","","","","Study 246","Experiment 2"
"","Canada","asthma","934","87","no asthma","maternal asthma","maternal prenatal asthma","Homo sapiens","feces","16S","","","Illumina","Mann-Whitney (Wilcoxon)","","0.05","Yes","","","","unchanged","unchanged","unchanged","","unchanged","Study 246","Experiment 3"
"","Canada","asthma","721","74","no asthma","maternal asthma","maternal prenatal asthma/caucasian infant","Homo sapiens","feces","16S","","","Illumina","Mann-Whitney (Wilcoxon)","","0.05","Yes","","","","","","","","","Study 246","Experiment 4"
"","Canada","asthma","186","21","no asthma","maternal asthma","maternal prenatal asthma/female infant, vaginally delivered, breastfed, not exposed to maternal antibiotics","Homo sapiens","feces","16S","","","Illumina","Mann-Whitney (Wilcoxon)","","0.05","Yes","","","","","","","","","Study 246","Experiment 5"
"","Canada","asthma","429","64","no asthma","maternal asthma","maternal prenatal asthma/caucasian infant, allergies during pregnancy","Homo sapiens","feces","16S","","","Illumina","Mann-Whitney (Wilcoxon)","","0.05","Yes","","","","","","","","","Study 246","Experiment 6"
"","Canada","asthma","278","10","no asthma","maternal asthma","maternal prenatal asthma/caucasian infant, no allergies during pregnancy","Homo sapiens","feces","16S","","","Illumina","Mann-Whitney (Wilcoxon)","","0.05","Yes","","","","","","","","","Study 246","Experiment 7"
"6 months","New Zealand","diet","34","33","prebiotic (inulin-type fructan)","placebo","placebo (control for prebiotic intake - representing lower fiber group)","Homo sapiens","feces","16S","3","4","Illumina","ANOVA","","0.05","No","age, sex, body mass index","","","unchanged","unchanged","","","","Study 247","Experiment 1"
"6 months","New Zealand","diet","34","33","prebiotic (inulin-type fructan) - in participants with low dietary fiber","placebo","placebo (control for prebiotic intake - representing lower fiber group)","Homo sapiens","feces","16S","3","4","Illumina","ANOVA","","0.05","No","age, sex, body mass index","","","unchanged","unchanged","","","","Study 247","Experiment 2"
"6 months","New Zealand","diet","34","33","prebiotic (inulin-type fructan) - in participants with high dietary fiber","placebo","placebo (control for prebiotic intake - representing lower fiber group)","Homo sapiens","feces","16S","3","4","Illumina","ANOVA","","0.05","No","age, sex, body mass index","","","unchanged","unchanged","","","","Study 247","Experiment 3"
"6 months","New Zealand","diet","34","33","high dietary fiber","low dietary fiber","placebo (control for prebiotic intake - representing lower fiber group)","Homo sapiens","feces","16S","3","4","Illumina","ANOVA","","0.05","No","age, sex, body mass index","","","unchanged","unchanged","","","","Study 247","Experiment 4"
"","South Africa","human papilloma virus infection","57","30","low risk hpv","high risk hpv","High risk HPV infection confirmed through HPV genotyping test","Homo sapiens","uterine cervix","16S","3","4","Illumina","LEfSe","2","0.2","Yes","","","","unchanged","","unchanged","","","Study 248","Experiment 1"
"","South Africa","human papilloma virus infection","50","37","no HPV","HPV","HPV infection confirmed through HPV genotyping test","Homo sapiens","uterine cervix","16S","3","4","Illumina","LEfSe","2","0.2","Yes","","","","unchanged","","unchanged","","","Study 248","Experiment 2"
"","United States of America","hepatitis, alcoholic","20","56","NAC","alcoholics","alcoholic hepatitis","Homo sapiens","blood","16S","3","4","Illumina","LEfSe","2","0.05","No","","","","unchanged","","","","","Study 249","Experiment 1"
"","United States of America","hepatitis, alcoholic","20","19","NAC","HDC","alcoholic hepatitis","Homo sapiens","blood","16S","3","4","Illumina","LEfSe","2","0.05","No","","","","unchanged","","","","","Study 249","Experiment 2"
"","United States of America","hepatitis, alcoholic","20","18","NAC","MAH","alcoholic hepatitis","Homo sapiens","blood","16S","3","4","Illumina","LEfSe","2","0.05","No","","","","unchanged","","","","","Study 249","Experiment 3"
"","United States of America","hepatitis, alcoholic","20","19","NAC","SAH","alcoholic hepatitis","Homo sapiens","blood","16S","3","4","Illumina","LEfSe","2","0.05","No","","","","unchanged","","","","","Study 249","Experiment 4"
"","United States of America","severe aplastic anemia","4","4","baseline","hematopoietic stem cell transplantation engraftment","In HSCT patients, The first sample was obtained before transplant conditioning treatment. The second specimen was collected at engraftment, defined as two absolute neutrophil counts of greater than 500 per microliter for at least 2 days. The final specimen collection occurred at the participant’s scheduled clinic visit approximately 100 days following transplant.","Homo sapiens","tongue","16S","2","8","Ion Torrent","LEfSe","","0.05","No","","","","","","","","","Study 250","Experiment 1"
"","United States of America","severe aplastic anemia","4","4","baseline","hematopoietic stem cell transplantation engraftment","In HSCT patients, The first sample was obtained before transplant conditioning treatment. The second specimen was collected at engraftment, defined as two absolute neutrophil counts of greater than 500 per microliter for at least 2 days. The final specimen collection occurred at the participant’s scheduled clinic visit approximately 100 days following transplant.","Homo sapiens","tongue","16S","3","9","Ion Torrent","LEfSe","","0.05","No","","","","","","","","","Study 250","Experiment 2"
"","United States of America","severe aplastic anemia","4","4","engraftment","hematopoietic stem cell transplantation 100 days after the transplant","In HSCT patients, The first sample was obtained before transplant conditioning treatment. The second specimen was collected at engraftment, defined as two absolute neutrophil counts of greater than 500 per microliter for at least 2 days. The final specimen collection occurred at the participant’s scheduled clinic visit approximately 100 days following transplant.","Homo sapiens","tongue","16S","2","8","Ion Torrent","LEfSe","","0.05","No","","","","","","","","","Study 250","Experiment 3"
"","United States of America","severe aplastic anemia","4","4","engraftment","hematopoietic stem cell transplantation 100 days after the transplant","In HSCT patients, The first sample was obtained before transplant conditioning treatment. The second specimen was collected at engraftment, defined as two absolute neutrophil counts of greater than 500 per microliter for at least 2 days. The final specimen collection occurred at the participant’s scheduled clinic visit approximately 100 days following transplant.","Homo sapiens","tongue","16S","3","9","Ion Torrent","LEfSe","","0.05","No","","","","","","","","","Study 250","Experiment 4"
"","United States of America","milk allergic reaction","8","9","healthy control","cows milk allergy","cows milk allergy","Mus musculus","feces","16S","4","","Illumina","LEfSe","2","0.05","No","age, sex, mode of birth (human fecal transplant donors)","","unchanged","unchanged","","","","","Study 251","Experiment 1"
"6 months","China","pemphigus vulgaris","14","18","healthy control","pemphigus vulgaris","pemphigus vulgaris","Homo sapiens","feces","16S","3","4","Illumina","LEfSe","2","0.05","No","age, sex","","","unchanged","","unchanged","","","Study 252","Experiment 1"
"3 months","South Korea","asthma","31","31","healthy control","asthma","asthma","Homo sapiens","nasopharynx","16S","1","3","Roche454","Dunn's test","","0.1","Yes","","","","unchanged","","","","unchanged","Study 253","Experiment 1"
"3 months","South Korea","asthma","31","30","healthy control","asthma remission","asthma remission","Homo sapiens","nasopharynx","16S","1","3","Roche454","Dunn's test","","0.1","Yes","","","","unchanged","","","","unchanged","Study 253","Experiment 2"
"2 weeks","United States of America","kidney stone","6","23","healthy control","kidney stone patient","kidney stone","Homo sapiens","feces","16S","4","","Illumina","Mann-Whitney (Wilcoxon)","","0.05","No","","","","","","","","","Study 254","Experiment 1"
"","United Republic of Tanzania","human papilloma virus infection","23","45","negative for intraepithelial lesion or malignancy","high-grade squamous intraepithelial lesions","high-grade squamous intraepithelial lesions (HSIL) comfirmed by Pap smear","Homo sapiens","uterine cervix","16S","4","","Illumina","LEfSe","","0.1","Yes","","","","","unchanged","","","","Study 255","Experiment 1"
"","United Republic of Tanzania","human papilloma virus infection","4","4","negative for intraepithelial lesion or malignancy","high-grade squamous intraepithelial lesions","high-grade squamous intraepithelial lesions (HSIL) comfirmed by Pap smear","Homo sapiens","uterine cervix","16S","4","","Illumina","LEfSe","","0.1","Yes","age","","","","unchanged","","","","Study 255","Experiment 2"
"","United Republic of Tanzania","HIV infection","95","39","HIV-","HIV+","HIV+ comfirmed by Standard Diagnostics HIV-1/2 3.0 detection kit","Homo sapiens","uterine cervix","16S","4","","Illumina","LEfSe","","0.1","Yes","","","","","increased","","","","Study 255","Experiment 3"
"1 month","China","gastric cancer","230","247","normal tissues","peritumoral tissues","gastric cancer","Homo sapiens","stomach","16S","3","4","Illumina","Mann-Whitney (Wilcoxon)","","0.05","Yes","","sex, age","","decreased","decreased","decreased","","decreased","Study 256","Experiment 1"
"1 month","China","gastric cancer","247","229","peritumoral tissues","tumoral tissues","gastric cancer","Homo sapiens","stomach","16S","3","4","Illumina","Mann-Whitney (Wilcoxon)","","0.05","Yes","","sex, age","","increased","decreased","increased","","unchanged","Study 256","Experiment 2"
"1 month","China","gastric cancer","230","229","normal tissues","tumoral tissues","gastric cancer","Homo sapiens","stomach","16S","3","4","Illumina","Mann-Whitney (Wilcoxon)","","0.05","Yes","","sex, age","","decreased","decreased","decreased","","decreased","Study 256","Experiment 3"
"1 month","China","gastric cancer","112","116","early stage normal","early stage tumor","gastric cancer","Homo sapiens","stomach","16S","3","4","Illumina","Mann-Whitney (Wilcoxon)","","0.05","Yes","","sex, age","","unchanged","decreased","unchanged","","","Study 256","Experiment 4"
"1 month","China","gastric cancer","112","118","early stage normal","early stage peritumor","gastric cancer","Homo sapiens","stomach","16S","3","4","Illumina","Mann-Whitney (Wilcoxon)","","0.05","Yes","","sex, age","","decreased","decreased","unchanged","","","Study 256","Experiment 5"
"1 month","China","gastric cancer","118","113","late stage normal","late stage tumor","gastric cancer","Homo sapiens","stomach","16S","3","4","Illumina","Mann-Whitney (Wilcoxon)","","0.05","Yes","","sex, age","","decreased","decreased","unchanged","","","Study 256","Experiment 6"
"1 month","China","gastric cancer","118","118","late stage normal","late stage tumor","gastric cancer","Homo sapiens","stomach","16S","3","4","Illumina","Mann-Whitney (Wilcoxon)","","0.05","Yes","","sex, age","","decreased","decreased","unchanged","","","Study 256","Experiment 7"
"1 month","China","gastric cancer","118","129","late stage normal","late stage peritumor","gastric cancer","Homo sapiens","stomach","16S","3","4","Illumina","Mann-Whitney (Wilcoxon)","","0.05","Yes","","sex, age","","decreased","decreased","decreased","","","Study 256","Experiment 8"
"1 month","China","gastric cancer","","","normal HP-","normal HP+","gastric cancer","Homo sapiens","stomach","16S","3","4","Illumina","LEfSe","2","","Yes","","sex, age","","decreased","decreased","decreased","","","Study 256","Experiment 9"
"1 month","China","gastric cancer","","","peritumor HP-","peritumor HP+","gastric cancer","Homo sapiens","stomach","16S","3","4","Illumina","LEfSe","2","","Yes","","sex, age","","decreased","unchanged","decreased","","","Study 256","Experiment 10"
"1 month","China","gastric cancer","","","tumor HP-","tumor HP+","gastric cancer","Homo sapiens","stomach","16S","3","4","Illumina","LEfSe","2","","Yes","","sex, age","","unchanged","unchanged","unchanged","","","Study 256","Experiment 11"
"3 months","Morocco","colorectal cancer","12","11","healthy control","colorectal cancer","colorectal cancer","Homo sapiens","feces","16S","1","2","Illumina","Kruskall-Wallis","","0.05","Yes","age, region, diet, lifestyle","sex, body mass index, family history of cancer","","","","","","unchanged","Study 257","Experiment 1"
"","United States of America, Canada","colorectal cancer","30","30","healthy control","carcinoma","carcinoma","Homo sapiens","feces","16S","4","","Illumina","LEfSe","2.5","0.05","No","","","","","","","","","Study 258","Experiment 1"
"during study","United States of America","atopic eczema","9","10","no emollient use","emollient use","infant randomized to emollient therapy","Homo sapiens","skin of cheek","16S","1","3","Roche454","Mann-Whitney (Wilcoxon)","","0.05","Yes","","","","unchanged","increased","","","increased","Study 259","Experiment 1"
"during study","United States of America","atopic eczema","9","10","no emollient use","emollient use","infant randomized to emollient therapy","Homo sapiens","skin of forearm","16S","1","3","Roche454","Mann-Whitney (Wilcoxon)","","0.05","Yes","","","","unchanged","increased","","","increased","Study 259","Experiment 2"
"","Estonia, Sweden","food allergy","35","27","nonallergic","allergic","child with allergy","Homo sapiens","feces","","","","","t-test","","0.05","No","","","","","","","","","Study 260","Experiment 1"
"","Japan","chronic pancreatitis","8","12","autoimmune pancreatitis type 1","chronic pancreatitis","autoimmune pancreatitis type 1","Homo sapiens","feces","16S","4","5","Illumina","Fisher's Exact Test","","0.05","No","","","","","","","","","Study 261","Experiment 1"
"3 months","United States of America","atopic asthma","27","27","bronchial brush specimen type","nasal brush","nasal brush specimen type","Homo sapiens","bronchus, nose","16S","4","","Illumina","Mann-Whitney (Wilcoxon)","","0.05","No","","","decreased","decreased","","","","decreased","Study 262","Experiment 1"
"3 months","United States of America","atopic asthma","27","27","bronchial brush specimen type","oral wash","oral wash specimen type","Homo sapiens","bronchus, mouth","16S","4","","Illumina","Mann-Whitney (Wilcoxon)","","0.05","No","","","unchanged","increased","","","","increased","Study 262","Experiment 2"
"3 months","United States of America","atopic asthma","27","27","nasal brush specimen type","induced sputum","induced sputum specimen type","Homo sapiens","nose, sputum","16S","4","","Illumina","Mann-Whitney (Wilcoxon)","","0.05","No","","","increased","increased","","","","increased","Study 262","Experiment 3"
"3 months","United States of America","atopic asthma","27","27","nasal brush specimen type","oral wash","oral wash specimen type","Homo sapiens","nose, mouth","16S","4","","Illumina","Mann-Whitney (Wilcoxon)","","0.05","No","","","increased","increased","","","","increased","Study 262","Experiment 4"
"3 months","United States of America","atopic asthma","27","27","induced sputum specimen type","oral wash","oral wash specimen type","Homo sapiens","sputum, mouth","16S","4","","Illumina","Mann-Whitney (Wilcoxon)","","0.05","No","","","unchanged","unchanged","","","","unchanged","Study 262","Experiment 5"
"3 months","United States of America","atopic asthma","27","27","bronchial brush specimen type","induced sputum","induced sputum specimen type","Homo sapiens","bronchus, sputum","16S","4","","Illumina","Mann-Whitney (Wilcoxon)","","0.05","No","","","unchanged","increased","","","","increased","Study 262","Experiment 6"
"3 months","United States of America","atopic asthma","11","22","healthy control","atopic asthma","atopic asthma","Homo sapiens","bronchus, sputum","16S","4","","Illumina","chi-square","","0.05","No","","","","","","","","","Study 262","Experiment 7"
"8 weeks","Canada","crohn disease","23","20","healthy controls","chron's disease","patients with immune-mediated inflammatory disease (IMID)","Homo sapiens","feces","16S","4","","Illumina","Kruskall-Wallis","","0.05","Yes","","","","decreased","","decreased","","","Study 263","Experiment 1"
"8 weeks","Canada","ulcerative colitis","23","19","healthy controls","ulcerative colitis","patients with immune-mediated inflammatory disease (IMID)","Homo sapiens","feces","16S","4","","Illumina","Kruskall-Wallis","","0.05","Yes","","","","decreased","","decreased","","","Study 263","Experiment 2"
"8 weeks","Canada","multiple sclerosis","23","19","healthy controls","multiple sceloris","patients with immune-mediated inflammatory disease (IMID)","Homo sapiens","feces","16S","4","","Illumina","Kruskall-Wallis","","0.05","Yes","","","","decreased","","decreased","","","Study 263","Experiment 3"
"8 weeks","Canada","rheumatoid arthritis","23","21","healthy controls","arthiritis","patients with immune-mediated inflammatory disease (IMID)","Homo sapiens","feces","16S","4","","Illumina","Kruskall-Wallis","","0.05","Yes","","","","decreased","","decreased","","","Study 263","Experiment 4"
"","Nigeria","human papilloma virus infection","99","12","HPV-/HIV-","HPV+/HIV-","HR-HPV+ confirmed by medical records and HPV genotyping test","Homo sapiens","vagina","16S","4","","Illumina","LEfSe","2","0.05","No","","","","","","","","","Study 264","Experiment 1"
"","Finland","human papilloma virus infection","13","22","at birth","two months","HPV infection","Homo sapiens","mouth","16S","4","","Illumina","LEfSe","3","0.05","No","","","","unchanged","increased","","","increased","Study 265","Experiment 1"
"","Finland","human papilloma virus infection","21","14","HPV-","HPV+","HPV infection","Homo sapiens","mouth","16S","4","","Illumina","LEfSe","4","0.05","No","","","","unchanged","unchanged","","","unchanged","Study 265","Experiment 2"
"","Finland","human papilloma virus infection","17","5","HPV- at two months","HPV+","HPV infection","Homo sapiens","mouth","16S","4","","Illumina","LEfSe","","0.05","No","","","","unchanged","unchanged","","","unchanged","Study 265","Experiment 3"
"1 month","Thailand","diet","36","36","healthy non-vegetarian","healthy vegetarian","healthy vegetarians","Homo sapiens","feces","16S","6","8","Roche454","Mann-Whitney (Wilcoxon)","","0.05","No","","","","unchanged","unchanged","","","unchanged","Study 266","Experiment 1"
"3 months","United States of America","atopic asthma","21","42","healthy control","atopic asthma","atopic asthma","Homo sapiens","bronchus","16S","4","","Illumina","negative binomial regression","","0.1","Yes","","","unchanged","unchanged","","","","unchanged","Study 267","Experiment 1"
"3 months","United States of America","atopic asthma","21","21","healthy control","atopic no asthma","atopic no asthma","Homo sapiens","bronchus","16S","4","","Illumina","negative binomial regression","","0.1","Yes","","","unchanged","unchanged","","","","unchanged","Study 267","Experiment 2"
"3 months","United States of America","atopic asthma","21","42","atopic no asthma","atopic asthma","atopic asthma","Homo sapiens","bronchus","16S","4","","Illumina","negative binomial regression","","0.1","Yes","","","unchanged","unchanged","","","","unchanged","Study 267","Experiment 3"
"3 months","United States of America","atopic asthma","10","15","nonresponder","inhaled corticosteroid responder","inhaled corticosteroid (ICS) responder","Homo sapiens","bronchus","16S","4","","Illumina","negative binomial regression","","0.1","Yes","","","","","","","","","Study 267","Experiment 4"
"3 months","United States of America","atopic asthma","8","8","baseline","post inhaled corticosteroid treatment","inhaled corticosteroid treatment","Homo sapiens","bronchus","16S","4","","Illumina","negative binomial regression","","0.1","Yes","","","","","","","","","Study 267","Experiment 5"
"3 months","United States of America","atopic asthma","8","8","baseline","post placebo treatment","placebo treatment","Homo sapiens","bronchus","16S","4","","Illumina","negative binomial regression","","0.1","Yes","","","","","","","","","Study 267","Experiment 6"
"3 months","United States of America","atopic asthma","21","42","healthy control","atopic asthma","atopic asthma","Homo sapiens","bronchus","16S","4","","Illumina","negative binomial regression","","0.1","Yes","","","unchanged","unchanged","","","","unchanged","Study 267","Experiment 7"
"3 months","United States of America","atopic asthma","21","21","healthy control","atopic no asthma","atopic no asthma","Homo sapiens","bronchus","16S","4","","Illumina","negative binomial regression","","0.1","Yes","","","unchanged","unchanged","","","","unchanged","Study 267","Experiment 8"
"3 months","United States of America","atopic asthma","21","42","atopic no asthma","atopic asthma","atopic asthma","Homo sapiens","bronchus","16S","4","","Illumina","negative binomial regression","","0.1","Yes","","","unchanged","unchanged","","","","unchanged","Study 267","Experiment 9"
"6 months","China","cervical glandular intraepithelial neoplasia","26","26","after loop electrosurgical excision procedure","before","Cervical intraepithelial neoplasia 2/3 patients who underwent Loop electrosurgical excision procedure(LEEP)","Homo sapiens","uterine cervix","16S","3","4","Illumina","LEfSe","2","0.05","No","","","","unchanged","","","unchanged","increased","Study 268","Experiment 1"
"","Malaysia","leukemia","7","7","healthy control","Acute Lymphoblastic Leukemia diagnosis and Pre- Chemotherapy treatment","children (ages 2-6 years old) diagnosed with and treated for Acute Lymphoblastic Leukemia","Homo sapiens","feces","16S","4","","Illumina","DESeq2","","0.1","Yes","Age, ethnic group","","","","","","","","Study 269","Experiment 1"
"3 days","Italy","human papilloma virus infection","17","55","HPV-","HPV+","HPV+  determined through HR-HC2 assay","Homo sapiens","cervicovaginal secretion","16S","3","5","Roche454","LEfSe","2","0.05","No","age","","","unchanged","unchanged","","","unchanged","Study 270","Experiment 1"
"3 days","Italy","human papilloma virus infection","27","28","HPV+ (clearance)","HPV+ (persistance)","HR-HPV+ persistence confirmed by HPV genotyping after 1 year","Homo sapiens","cervicovaginal secretion","16S","3","5","Roche454","LEfSe","2","0.05","No","","","","unchanged","unchanged","","","unchanged","Study 270","Experiment 2"
"","United States of America","acute lymphoblastic leukemia","18","16","Minimal Residual Disease- (positivity) with Allogenic Stem Cell Transplant","Minimal Residual Disease- (negativity) with Allogenic Stem Cell Transplant","Patients with multiple myeloma (MM) who achieve minimal residual disease (MRD) negativity (MRD-) after upfront treatment","Homo sapiens","feces","16S","4","5","Illumina","LEfSe","2","0.05","Yes","","","","","","","unchanged","","Study 271","Experiment 1"
"","United States of America","acute lymphoblastic leukemia","18","16","Minimal Residual Disease- (positivity) with Allogenic Stem Cell Transplant","Minimal Residual Disease- (negativity) with Allogenic Stem Cell Transplant","Patients with multiple myeloma (MM) who achieve minimal residual disease (MRD) negativity (MRD-) after upfront treatment","Homo sapiens","feces","16S","4","5","Illumina","LEfSe","2","0.05","Yes","","","","","","","","increased","Study 271","Experiment 2"
"","United States of America","acute lymphoblastic leukemia","18","16","Minimal Residual Disease- (positivity) with Allogenic Stem Cell Transplant","Minimal Residual Disease- (negativity) with Allogenic Stem Cell Transplant","Patients with multiple myeloma (MM) who achieve minimal residual disease (MRD) negativity (MRD-) after upfront treatment","Homo sapiens","feces","16S","4","5","Illumina","Mann-Whitney (Wilcoxon)","2","0.05","Yes","","","","","","","","increased","Study 271","Experiment 3"
"","United States of America","acute lymphoblastic leukemia","18","16","female","males","Patients with multiple myeloma (MM) who achieve minimal residual disease (MRD) negativity (MRD-) after upfront treatment","Homo sapiens","feces","16S","4","5","Illumina","Mann-Whitney (Wilcoxon)","2","0.05","Yes","","","","","","","","increased","Study 271","Experiment 4"
"","United States of America","acute lymphoblastic leukemia","18","16","Minimal Residual Disease- (positivity) with Allogenic Stem Cell Transplant","Minimal Residual Disease- (negativity) with Allogenic Stem Cell Transplant","Patients with multiple myeloma (MM) who achieve minimal residual disease (MRD) negativity (MRD-) after upfront treatment","Homo sapiens","feces","16S","4","5","Illumina","Mann-Whitney (Wilcoxon)","2","0.05","Yes","","","","","","","","increased","Study 271","Experiment 5"
"","United States of America","acute lymphoblastic leukemia","18","16","Age greater than 65 years old","Age less than 65 years old","Patients with multiple myeloma (MM) who achieve minimal residual disease (MRD) negativity (MRD-) after upfront treatment","Homo sapiens","feces","16S","4","5","Illumina","Mann-Whitney (Wilcoxon)","2","0.05","Yes","","","","","","","","increased","Study 271","Experiment 6"
"","Botswana","pneumonia","74","96","negative","S.pneumoniae positive","clinical pneumonnia","Homo sapiens","nasopharynx","16S","3","","Illumina","Logistic Regression","","0.05","No","primary care clinic, date","age","","unchanged","unchanged","","","unchanged","Study 272","Experiment 1"
"Prophylactic Septra which was prescribed ubiquitously to patients throughout the study, as per standard of care.","Canada","acute lymphoblastic leukemia","7","9","non-infectious complications (NIC)","Infectious complications (IC)","Infectious complications (IC) in the past 6 months of Acute Lymphoblastic Leukemia treatment","Homo sapiens","feces","WMS","4","5","Illumina","Mann-Whitney (Wilcoxon)","","0.05","Yes","","","","","","","","decreased","Study 273","Experiment 1"
"Prophylactic Septra which was prescribed ubiquitously to patients throughout the study, as per standard of care.","Canada","acute lymphoblastic leukemia","7","9","non-infectious complications (NIC)","Infectious complications (IC)","Infectious complications (IC) in the past 6 months of Acute Lymphoblastic Leukemia treatment","Homo sapiens","feces","WMS","4","5","Illumina","Mann-Whitney (Wilcoxon)","","0.05","Yes","","","","","","","","unchanged","Study 273","Experiment 2"
"3 months","United States of America","human papilloma virus infection","20","31","HPV-","HPV+","HPV+ determined by the Linear Array HPV Genotyping Tests","Homo sapiens","vagina","16S","4","","Illumina","DESeq2","","0.05","Yes","","","","","","","","","Study 274","Experiment 1"
"3 months","United States of America","cervical glandular intraepithelial neoplasia","20","12","HPV-","low grade dysplasia","low grade dysplasia confirmed by histology of colonoscopy-directed biopsy","Homo sapiens","vagina","16S","4","","Illumina","DESeq2","","0.05","Yes","","","","","","","","","Study 274","Experiment 2"
"3 months","United States of America","cervical glandular intraepithelial neoplasia","20","27","HPV-","high grade dysplasia","high grade dysplasia confirmed by histology of colonoscopy-directed biopsy","Homo sapiens","vagina","16S","4","","Illumina","DESeq2","","0.05","Yes","","","","","","","","","Study 274","Experiment 3"
"3 months","United States of America","cervical cancer","20","10","HPV-","invasive cervical carcinoma","invasive cervical carcinoma confirmed by histology of colonoscopy-directed biopsy","Homo sapiens","vagina","16S","4","","Illumina","DESeq2","","0.05","Yes","","","","","","","","","Study 274","Experiment 4"
"3 months","United States of America","human papilloma virus infection","20","31","HPV-","HPV+","HPV+ determined by the Linear Array HPV Genotyping Tests","Homo sapiens","vagina","16S","4","","Illumina","DESeq2","","0.05","Yes","","age, body mass index, ethnic group","","","","","","","Study 274","Experiment 5"
"3 months","United States of America","cervical glandular intraepithelial neoplasia","20","12","HPV-","low grade dysplasia","low grade dysplasia confirmed by histology of colonoscopy-directed biopsy","Homo sapiens","vagina","16S","4","","Illumina","DESeq2","","0.05","Yes","","age, body mass index, ethnic group","","","","","","","Study 274","Experiment 6"
"3 months","United States of America","cervical glandular intraepithelial neoplasia","20","27","HPV-","high grade dysplasia","high grade dysplasia confirmed by histology of colonoscopy-directed biopsy","Homo sapiens","vagina","16S","4","","Illumina","DESeq2","","0.05","Yes","","age, body mass index, ethnic group","","","","","","","Study 274","Experiment 7"
"3 months","United States of America","cervical cancer","20","10","HPV-","invasive cervical carcinoma","invasive cervical carcinoma confirmed by histology of colonoscopy-directed biopsy","Homo sapiens","vagina","16S","4","","Illumina","DESeq2","","0.05","Yes","","age, body mass index, ethnic group","","","","","","","Study 274","Experiment 8"
"3 months","United States of America","human papilloma virus infection, cervical cancer","20","74","abnormal pH","normal pH","HPV+ determined by the Linear Array HPV Genotyping Tests, low grade dysplasia,high grade dysplasia, invasive cervical carcinoma confirmed by histology of colonoscopy-directed biopsy,","Homo sapiens","vagina","16S","4","","Illumina","DESeq2","","0.05","Yes","","","","","","","","","Study 274","Experiment 9"
"3 months","United States of America","human papilloma virus infection","53","47","non-Hispanic","Hispanic","HPV+ determined by the Linear Array HPV Genotyping Tests, low grade dysplasia,high grade dysplasia, invasive cervical carcinoma confirmed by histology of colonoscopy-directed biopsy,","Homo sapiens","vagina","16S","4","","Illumina","DESeq2","","0.05","Yes","","","","","","","","","Study 274","Experiment 10"
"","United States of America","acute lymphoblastic leukemia","23","28","healthy sibling control","ALL patient","before chemotherapy adminstration in pediatric and adolescent Acute Lymphoblastic Leukemia at time of disease diagnosis","Homo sapiens","feces","16S","1","3","Illumina","Mann-Whitney (Wilcoxon)","","0.05","No","","","","unchanged","","","","","Study 275","Experiment 1"
"3 months","China","multiple myeloma","17","40","healthy control","Multiple Myeloma patient","patient diagnosis with multiple myeloma and no other disease validated to affect intestinal microbial including digestive disease like liver cirrhosis, liver cancer, inflammatory bowel disease, and irritable bowel syndrome; systemic disease like diabetes and hypertension and thyroid disease; no treatment including antibiotics, chemotherapy, plasma exchange or bone marrow transplant; no cold, fever or other infections within 3 months before sampling with administrated antibacterial drugs, gastrointestinal motility drugs or micro-ecological conditioning agents like eating and living habit change 1 week before sampling","Homo sapiens","feces","16S","3","4","Illumina","t-test","","0.05","No","","","","","","","","","Study 276","Experiment 1"
"3 months","China","multiple myeloma","17","40","healthy control","Multiple Myeloma patient","patient diagnosis with multiple myeloma and no other disease validated to affect intestinal microbial including digestive disease like liver cirrhosis, liver cancer, inflammatory bowel disease, and irritable bowel syndrome; systemic disease like diabetes and hypertension and thyroid disease; no treatment including antibiotics, chemotherapy, plasma exchange or bone marrow transplant; no cold, fever or other infections within 3 months before sampling with administrated antibacterial drugs, gastrointestinal motility drugs or micro-ecological conditioning agents like eating and living habit change 1 week before sampling","Homo sapiens","feces","16S","3","4","Illumina","LEfSe","2","0.05","No","","","","decreased","unchanged","","","","Study 276","Experiment 2"
